"week","rank_away","rank_home","game_type","neutral","spread","home_win","home_season","average_spread","average_fumbles","average_q1_points","average_q2_points","average_q3_points","average_q4_points","average_first_downs","average_run_pass_ratio","average_rush_yard_to_total_yards","average_time_of_possession","average_interceptions","average_number_of_penalties","average_penalty_yards","average_third_down_completion_rate","average_pass_completion_rate"
1,26,2,"regular","True",10,"Win","Alabama_2014",10.0,0.0,3.0,17.0,10.0,3.0,30.0,1.4848484848484849,0.5353159851301115,37.78,1.0,7.0,49.0,0.5625,0.7272727272727273
2,26,2,"regular","False",41,"Win","Alabama_2014",41.0,1.0,21.0,10.0,7.0,3.0,27.0,0.8421052631578947,0.3064516129032258,28.5,0.0,6.0,60.0,0.5,0.7105263157894737
3,26,3,"regular","False",40,"Win","Alabama_2014",30.333333333333332,0.6666666666666666,10.333333333333334,13.666666666666666,10.333333333333334,7.666666666666667,29.333333333333332,1.4562068048910153,0.48351424504828483,33.65,0.3333333333333333,5.333333333333333,44.666666666666664,0.5662878787878788,0.7153774587985114
4,26,3,"regular","False",21,"Win","Alabama_2014",34.0,1.6666666666666667,14.0,10.333333333333334,11.666666666666666,9.0,28.666666666666668,1.4564954051796157,0.41569066270332705,34.14666666666667,0.3333333333333333,6.666666666666667,55.0,0.6287878787878788,0.7015246449456974
8,21,7,"regular","False",59,"Win","Alabama_2014",40.0,1.3333333333333333,10.333333333333334,18.666666666666668,11.666666666666666,10.333333333333334,29.666666666666668,1.6043650793650794,0.47854566216747885,36.82,0.3333333333333333,4.666666666666667,35.0,0.6621212121212121,0.6646825396825397
12,1,5,"regular","False",5,"Win","Alabama_2014",28.333333333333332,1.0,9.666666666666666,18.666666666666668,7.0,6.666666666666667,25.0,1.2678955453149001,0.39900370104075417,34.623333333333335,0.3333333333333333,6.0,47.0,0.5690476190476191,0.6328725038402457
13,26,1,"regular","False",34,"Win","Alabama_2014",32.666666666666664,0.3333333333333333,8.333333333333334,25.666666666666668,5.666666666666667,4.333333333333333,27.666666666666668,1.1214946593791304,0.4381707567519275,34.20666666666667,0.3333333333333333,4.0,37.0,0.5333333333333333,0.6291072768192048
14,15,1,"regular","False",11,"Win","Alabama_2014",16.666666666666668,0.3333333333333333,9.666666666666666,16.333333333333332,7.666666666666667,9.0,25.666666666666668,1.1126763172274552,0.413548645751079,30.73333333333333,1.3333333333333333,5.0,47.0,0.5185185185185185,0.6760208570661184
1,20,3,"regular","True",18,"Win","Alabama_2015",18.0,0.0,7.0,7.0,14.0,7.0,27.0,1.2758620689655173,0.47410358565737054,31.08,0.0,11.0,120.0,0.36363636363636365,0.7586206896551724
2,26,2,"regular","False",27,"Win","Alabama_2015",27.0,0.0,7.0,16.0,14.0,0.0,28.0,0.9069767441860465,0.41353383458646614,32.93,2.0,5.0,40.0,0.3076923076923077,0.6046511627906976
3,15,2,"regular","False",-6,"Loss","Alabama_2015",13.0,0.6666666666666666,4.666666666666667,11.0,11.666666666666666,9.0,28.0,0.9649010733104082,0.4383576026392643,33.14666666666667,1.6666666666666667,6.666666666666667,65.33333333333333,0.40710955710955715,0.6352149112672674
4,26,12,"regular","False",34,"Win","Alabama_2015",18.333333333333332,0.6666666666666666,4.666666666666667,11.0,10.333333333333334,10.0,24.666666666666668,0.9041970503219025,0.4310381455939582,31.94333333333333,2.0,5.333333333333333,49.333333333333336,0.33717948717948715,0.5698413480488767
6,26,8,"regular","False",13,"Win","Alabama_2015",13.666666666666666,0.6666666666666666,3.3333333333333335,5.666666666666667,8.0,15.666666666666666,22.666666666666668,1.0665179335730184,0.405988146859749,32.26,2.0,5.666666666666667,54.666666666666664,0.380448717948718,0.6107152028762198
8,26,8,"regular","False",5,"Win","Alabama_2015",17.333333333333332,0.0,5.666666666666667,2.3333333333333335,6.666666666666667,12.0,20.666666666666668,1.3477483164983166,0.3706525414446207,32.333333333333336,1.3333333333333333,6.666666666666667,64.0,0.32532051282051283,0.6891835016835017
10,2,4,"regular","False",14,"Win","Alabama_2015",10.666666666666666,0.3333333333333333,3.3333333333333335,4.333333333333333,8.0,9.666666666666666,24.333333333333332,1.747053872053872,0.4119497587239523,36.32666666666667,1.0,7.333333333333333,69.33333333333333,0.4295940170940171,0.7516835016835017
12,26,2,"regular","False",50,"Win","Alabama_2015",23.0,0.3333333333333333,11.666666666666666,11.333333333333334,5.666666666666667,6.333333333333333,24.666666666666668,1.749074074074074,0.46044546850998463,34.6,0.3333333333333333,6.0,60.666666666666664,0.468945868945869,0.7625925925925925
14,18,2,"regular","True",14,"Win","Alabama_2015",26.0,0.6666666666666666,10.0,14.666666666666666,8.0,5.666666666666667,25.333333333333332,1.974145299145299,0.5310295373778063,37.21,0.0,5.333333333333333,51.0,0.477995642701525,0.7341025641025641
17,3,2,"post","True",38,"Win","Alabama_2015",34.0,0.3333333333333333,10.0,13.666666666666666,10.333333333333334,7.0,23.0,1.5866004962779157,0.4556839152579906,35.03666666666666,0.0,4.333333333333333,44.666666666666664,0.4335511982570806,0.7529197684036394
1,20,1,"regular","True",46,"Win","Alabama_2016",46.0,1.0,0.0,17.0,21.0,14.0,15.0,2.5,0.5204301075268817,30.72,1.0,4.0,29.0,0.4,0.6666666666666666
2,26,1,"regular","False",28,"Win","Alabama_2016",28.0,1.0,10.0,7.0,7.0,14.0,23.0,0.9285714285714286,0.26105263157894737,35.73,0.0,12.0,84.0,0.5,0.5952380952380952
4,26,1,"regular","False",48,"Win","Alabama_2016",40.666666666666664,0.6666666666666666,10.333333333333334,14.666666666666666,11.666666666666666,9.333333333333334,21.333333333333332,1.593837535014006,0.44973727425705584,33.33333333333333,0.3333333333333333,6.0,44.333333333333336,0.44285714285714284,0.6363211951447245
5,26,1,"regular","False",28,"Win","Alabama_2016",34.666666666666664,0.6666666666666666,11.333333333333334,13.666666666666666,9.333333333333334,5.666666666666667,24.666666666666668,1.0850656051894443,0.3944299706551992,33.02,0.0,6.0,41.333333333333336,0.5238095238095238,0.6333972185365374
8,6,1,"regular","False",19,"Win","Alabama_2016",31.666666666666668,0.3333333333333333,10.0,13.666666666666666,11.333333333333334,3.3333333333333335,26.333333333333332,1.5355417956656348,0.5195336389167622,33.053333333333335,0.6666666666666666,4.333333333333333,28.0,0.5238095238095238,0.634984520123839
11,26,1,"regular","False",48,"Win","Alabama_2016",31.666666666666668,0.6666666666666666,6.333333333333333,13.666666666666666,13.666666666666666,5.666666666666667,26.333333333333332,1.3365939238339752,0.4484477926001316,30.993333333333336,1.0,4.666666666666667,33.0,0.5604395604395603,0.6713307659392385
12,26,1,"regular","False",28,"Win","Alabama_2016",31.666666666666668,0.6666666666666666,5.333333333333333,13.666666666666666,11.333333333333334,8.0,22.666666666666668,1.5993341076267906,0.5270655422874054,29.7,1.0,3.6666666666666665,29.666666666666668,0.4487179487179487,0.6901277584204414
13,13,1,"regular","False",18,"Win","Alabama_2016",31.333333333333332,0.6666666666666666,6.666666666666667,12.333333333333334,11.666666666666666,6.666666666666667,22.0,1.235730504023187,0.4500075370856876,31.25,1.0,2.6666666666666665,24.333333333333332,0.44871794871794873,0.7423800106726937
17,4,1,"post","True",17,"Win","Alabama_2016",21.0,0.3333333333333333,5.666666666666667,9.0,7.0,6.666666666666667,18.666666666666668,2.1741741741741745,0.6069014802582481,32.376666666666665,0.6666666666666666,5.333333333333333,34.666666666666664,0.3644688644688645,0.657014157014157
17,2,1,"post","True",-4,"Loss","Alabama_2016",10.333333333333334,0.0,8.0,6.666666666666667,8.0,5.666666666666667,19.333333333333332,1.9410392535392536,0.6060363174794734,32.166666666666664,0.6666666666666666,8.0,58.666666666666664,0.3063492063492063,0.5647522522522522
1,3,1,"regular","True",17,"Win","Alabama_2017",17.0,0.0,3.0,7.0,11.0,3.0,13.0,2.3333333333333335,0.6431226765799256,32.78,0.0,5.0,30.0,0.1875,0.5555555555555556
2,26,1,"regular","False",31,"Win","Alabama_2017",31.0,0.0,14.0,14.0,3.0,10.0,28.0,1.4444444444444444,0.613682092555332,30.7,0.0,4.0,30.0,0.4,0.7407407407407407
3,26,1,"regular","False",18,"Win","Alabama_2017",22.0,0.0,11.333333333333334,9.333333333333334,9.333333333333334,5.333333333333333,21.333333333333332,1.8783068783068781,0.5825215075762289,29.86666666666667,0.0,4.333333333333333,35.0,0.3902777777777778,0.6384479717813051
5,26,1,"regular","False",63,"Win","Alabama_2017",37.333333333333336,0.0,17.333333333333332,11.666666666666666,13.666666666666666,6.666666666666667,25.666666666666668,1.8088624338624337,0.5666247154372978,31.146666666666665,0.0,5.0,45.0,0.4833333333333334,0.6615961199294532
7,26,1,"regular","False",32,"Win","Alabama_2017",37.666666666666664,0.3333333333333333,18.333333333333332,9.333333333333334,15.0,6.666666666666667,24.0,2.009920634920635,0.5690532652306817,31.063333333333333,0.3333333333333333,5.666666666666667,57.0,0.5015151515151516,0.621031746031746
8,26,1,"regular","False",38,"Win","Alabama_2017",44.333333333333336,0.6666666666666666,15.0,11.666666666666666,13.666666666666666,10.333333333333334,28.0,1.926226551226551,0.5555770559754768,33.97333333333333,0.6666666666666666,6.666666666666667,60.666666666666664,0.48655788655788657,0.6369047619047619
10,19,2,"regular","False",14,"Win","Alabama_2017",28.0,0.6666666666666666,10.333333333333334,9.333333333333334,8.0,9.0,24.0,1.7178932178932176,0.48641957799467805,30.39333333333333,0.6666666666666666,4.666666666666667,44.333333333333336,0.45004995004995,0.5813492063492063
12,26,1,"regular","False",56,"Win","Alabama_2017",36.0,1.0,9.333333333333334,14.0,10.333333333333334,8.0,23.666666666666668,1.8131313131313131,0.4460969973495168,28.643333333333334,0.3333333333333333,3.0,24.0,0.5207570207570207,0.6342592592592592
1,26,1,"regular","True",37,"Win","Alabama_2018",37.0,1.0,14.0,14.0,16.0,7.0,21.0,1.6153846153846154,0.4277456647398844,31.15,0.0,10.0,111.0,0.6666666666666666,0.6538461538461539
2,26,1,"regular","False",50,"Win","Alabama_2018",50.0,1.0,19.0,21.0,10.0,7.0,26.0,1.5172413793103448,0.46410684474123537,31.73,0.0,4.0,35.0,0.6666666666666666,0.6896551724137931
4,22,1,"regular","False",22,"Win","Alabama_2018",36.333333333333336,0.6666666666666666,15.666666666666666,17.333333333333332,13.333333333333334,4.666666666666667,23.666666666666668,1.3270369477266029,0.3666225922188975,30.093333333333334,0.0,7.666666666666667,76.0,0.5777777777777778,0.7003590279452349
5,26,1,"regular","False",42,"Win","Alabama_2018",38.0,0.3333333333333333,20.333333333333332,19.666666666666668,10.333333333333334,2.3333333333333335,25.333333333333332,1.7469087425983976,0.3709705285336728,29.73333333333333,0.0,5.333333333333333,44.0,0.6148148148148148,0.7532436433298502
7,26,1,"regular","False",29,"Win","Alabama_2018",31.0,0.3333333333333333,18.333333333333332,18.333333333333332,7.666666666666667,2.3333333333333335,25.0,1.7411616161616161,0.3250152918705187,29.916666666666668,0.0,5.666666666666667,52.333333333333336,0.5464387464387465,0.7344696969696969
11,16,1,"regular","False",24,"Win","Alabama_2018",31.666666666666668,0.6666666666666666,18.333333333333332,15.0,3.0,3.3333333333333335,24.666666666666668,2.013888888888889,0.4108681263092622,32.09,0.3333333333333333,2.6666666666666665,25.0,0.5242165242165242,0.691820987654321
12,26,1,"regular","False",33,"Win","Alabama_2018",28.666666666666668,1.3333333333333333,11.333333333333334,9.0,9.666666666666666,7.666666666666667,23.0,1.3504273504273503,0.37683194405326575,29.94,0.3333333333333333,3.6666666666666665,42.666666666666664,0.4649572649572649,0.690218423551757
13,26,1,"regular","False",31,"Win","Alabama_2018",29.333333333333332,1.0,9.333333333333334,6.666666666666667,16.0,10.0,22.333333333333332,1.113053613053613,0.3500848991360081,27.64,0.3333333333333333,4.666666666666667,50.0,0.46262626262626266,0.7417335750669084
17,4,1,"post","True",11,"Win","Alabama_2018",25.0,0.6666666666666666,11.666666666666666,7.666666666666667,16.0,13.666666666666666,24.0,1.0574980574980575,0.32115626856803325,28.376666666666665,0.0,7.666666666666667,78.66666666666667,0.5848484848484848,0.8294760794760795
17,2,1,"post","True",-28,"Loss","Alabama_2018",4.666666666666667,0.0,13.666666666666666,7.666666666666667,7.0,9.333333333333334,24.666666666666668,1.1052188552188553,0.3196245525229724,31.043333333333337,0.6666666666666666,7.666666666666667,76.0,0.4874125874125874,0.763949013949014
1,26,2,"regular","True",39,"Win","Alabama_2019",39.0,1.0,0.0,14.0,21.0,7.0,30.0,1.1666666666666667,0.283203125,36.62,0.0,8.0,88.0,0.5,0.8333333333333334
2,26,2,"regular","False",52,"Win","Alabama_2019",52.0,0.0,21.0,17.0,24.0,0.0,23.0,0.9696969696969697,0.527363184079602,27.95,0.0,4.0,35.0,0.5,0.6363636363636364
4,26,2,"regular","False",42,"Win","Alabama_2019",44.333333333333336,0.3333333333333333,11.666666666666666,15.0,19.666666666666668,4.666666666666667,25.666666666666668,1.178787878787879,0.38432625348048993,30.549999999999997,0.3333333333333333,4.333333333333333,46.0,0.5333333333333333,0.7565656565656566
5,26,2,"regular","False",28,"Win","Alabama_2019",40.666666666666664,0.3333333333333333,14.0,20.666666666666668,17.333333333333332,4.666666666666667,25.0,1.0601692601692603,0.380093914547971,28.21666666666667,0.3333333333333333,5.0,42.0,0.5333333333333333,0.713022113022113
8,26,1,"regular","False",22,"Win","Alabama_2019",30.666666666666668,0.3333333333333333,11.666666666666666,17.333333333333332,11.666666666666666,7.0,25.0,1.2091591591591593,0.3294178934025809,28.323333333333334,0.6666666666666666,6.333333333333333,61.333333333333336,0.5666666666666668,0.750900900900901
9,26,1,"regular","False",41,"Win","Alabama_2019",30.333333333333332,0.3333333333333333,12.666666666666666,20.666666666666668,9.333333333333334,4.666666666666667,24.666666666666668,1.1647147147147148,0.3452731474511667,30.820000000000004,0.3333333333333333,8.0,76.33333333333333,0.5717948717948719,0.7509009009009008
11,2,3,"regular","False",-5,"Loss","Alabama_2019",19.333333333333332,0.3333333333333333,12.666666666666666,12.333333333333334,7.0,9.333333333333334,22.666666666666668,1.127777777777778,0.3308900269721022,29.423333333333336,0.6666666666666666,7.0,68.66666666666667,0.5384615384615384,0.6916666666666668
13,26,5,"regular","False",63,"Win","Alabama_2019",33.0,0.6666666666666666,13.666666666666666,17.0,11.666666666666666,9.333333333333334,22.666666666666668,1.5888888888888888,0.34810734042367547,29.28333333333333,0.3333333333333333,5.666666666666667,52.666666666666664,0.5467948717948717,0.7083333333333334
17,14,13,"post","True",19,"Win","Alabama_2019",25.666666666666668,0.6666666666666666,10.333333333333334,11.333333333333334,11.666666666666666,14.0,21.666666666666668,1.5666666666666667,0.32436460258780037,26.166666666666668,0.3333333333333333,5.333333333333333,41.0,0.4749999999999999,0.6550000000000001
5,13,2,"regular","False",28,"Win","Alabama_2020",28.0,0.0,14.0,21.0,7.0,10.0,22.0,1.037037037037037,0.20036764705882354,22.3,1.0,6.0,40.0,0.5,0.7407407407407407
7,3,2,"regular","False",17,"Win","Alabama_2020",17.0,0.0,7.0,13.0,14.0,7.0,33.0,1.303030303030303,0.26063829787234044,33.98,1.0,6.0,43.0,0.5454545454545454,0.7272727272727273
9,26,2,"regular","False",41,"Win","Alabama_2020",28.666666666666668,0.3333333333333333,12.666666666666666,14.666666666666666,7.0,10.333333333333334,27.0,1.1840628507295172,0.2926132040886111,29.326666666666668,0.6666666666666666,7.333333333333333,51.333333333333336,0.49134199134199136,0.7317620650953985
