"week","rank_away","rank_home","game_type","neutral","q1_home","q2_home","q3_home","q4_home","first_downs_home","fum_home","int_home","pen_num_home","pen_yards_home","possession_home","spread","home_win","Home Third Down Completion Rate ","Home Pass Completion Rate","home_season","Run-Pass Ratio","Rush Yards - Total Yards"
1,26,2,"regular","True",3,17,10,3,30,0,1,7,49,37.78,10,"Win",0.5625,0.7272727272727273,"Alabama_2014",1.4848484848484849,0.5353159851301115
2,26,2,"regular","False",21,10,7,3,27,1,0,6,60,28.5,41,"Win",0.5,0.7105263157894737,"Alabama_2014",0.8421052631578947,0.3064516129032258
3,26,3,"regular","False",7,14,14,17,31,1,0,3,25,34.67,40,"Win",0.6363636363636364,0.7083333333333334,"Alabama_2014",2.0416666666666665,0.6087751371115173
4,26,3,"regular","False",14,7,14,7,28,3,1,11,80,39.27,21,"Win",0.75,0.6857142857142857,"Alabama_2014",1.4857142857142858,0.3318452380952381
8,21,7,"regular","False",10,35,7,7,30,0,0,0,0,36.52,59,"Win",0.6,0.6,"Alabama_2014",1.2857142857142858,0.4950166112956811
12,1,5,"regular","False",5,14,0,6,17,0,0,7,61,28.08,5,"Win",0.35714285714285715,0.6129032258064516,"Alabama_2014",1.032258064516129,0.3701492537313433
13,26,1,"regular","False",10,28,10,0,36,1,1,5,50,38.02,34,"Win",0.6428571428571429,0.6744186046511628,"Alabama_2014",1.0465116279069768,0.4493464052287582
14,15,1,"regular","False",14,7,13,21,24,0,3,3,30,26.1,11,"Win",0.5555555555555556,0.7407407407407407,"Alabama_2014",1.2592592592592593,0.42115027829313545
1,20,3,"regular","True",7,7,14,7,27,0,0,11,120,31.08,18,"Win",0.36363636363636365,0.7586206896551724,"Alabama_2015",1.2758620689655173,0.47410358565737054
2,26,2,"regular","False",7,16,14,0,28,0,2,5,40,32.93,27,"Win",0.3076923076923077,0.6046511627906976,"Alabama_2015",0.9069767441860465,0.41353383458646614
3,15,2,"regular","False",0,10,7,20,29,2,3,4,36,35.43,-6,"Loss",0.55,0.5423728813559322,"Alabama_2015",0.711864406779661,0.4274353876739563
4,26,12,"regular","False",7,7,10,10,17,0,1,7,72,27.47,34,"Win",0.15384615384615385,0.5625,"Alabama_2015",1.09375,0.4521452145214521
6,26,8,"regular","False",3,0,7,17,22,0,2,6,56,33.88,13,"Win",0.4375,0.7272727272727273,"Alabama_2015",1.393939393939394,0.3383838383838384
8,26,8,"regular","False",7,0,3,9,23,0,1,7,64,35.65,5,"Win",0.38461538461538464,0.7777777777777778,"Alabama_2015",1.5555555555555556,0.32142857142857145
10,2,4,"regular","False",0,13,14,3,28,1,0,9,88,39.45,14,"Win",0.4666666666666667,0.75,"Alabama_2015",2.2916666666666665,0.576036866359447
12,26,2,"regular","False",28,21,0,7,23,0,0,2,30,28.7,50,"Win",0.5555555555555556,0.76,"Alabama_2015",1.4,0.4838709677419355
14,18,2,"regular","True",2,10,10,7,25,1,0,5,35,43.48,14,"Win",0.4117647058823529,0.6923076923076923,"Alabama_2015",2.230769230769231,0.5331807780320366
17,3,2,"post","True",0,10,21,7,21,0,0,6,69,32.93,38,"Win",0.3333333333333333,0.8064516129032258,"Alabama_2015",1.1290322580645162,0.35
1,20,1,"regular","True",0,17,21,14,15,1,1,4,29,30.72,46,"Win",0.4,0.6666666666666666,"Alabama_2016",2.5,0.5204301075268817
2,26,1,"regular","False",10,7,7,14,23,1,0,12,84,35.73,28,"Win",0.5,0.5952380952380952,"Alabama_2016",0.9285714285714286,0.26105263157894737
4,26,1,"regular","False",21,20,7,0,26,0,0,2,20,33.55,48,"Win",0.42857142857142855,0.6470588235294118,"Alabama_2016",1.3529411764705883,0.5677290836653387
5,26,1,"regular","False",3,14,14,3,25,1,0,4,20,29.78,28,"Win",0.6428571428571429,0.6578947368421053,"Alabama_2016",0.9736842105263158,0.35450819672131145
